Order Number ,Order Date,SKU ID,Warehouse ID,Customer Type,Order Quantity,Unit Sale Price,Revenue
SO - 018900,2021-01-01,3551CA,GUT930,Export,105.0,7.06831,742
SO - 018901,2021-01-01,3079BA,AXW291,Wholesale,151.0,134.5,20310
SO - 018902,2021-01-01,3250CA,AXW291,Distributor,300.0,34.75342,10426
SO - 018903,2021-01-01,1161AA,GUT930,Wholesale,50.0,136.5925,6830
SO - 018904,2021-01-01,3512AA,GUT930,Distributor,1000.0,0.10295,103
SO - 018905,2021-01-01,1741BA,AXW291,Distributor,6.0,1450.0,8700
SO - 018906,2021-01-01,3462AA,NXH382,Wholesale,50.0,4.1,205
SO - 018907,2021-01-01,3590BA,GUT930,Distributor,25.0,115.085,2877
SO - 018908,2021-01-01,3551CA,AXW291,Distributor,98.0,7.06831,693
SO - 018909,2021-01-01,1479CA,FLR025,Export,3.0,385.5625,1157
SO - 018910,2021-01-01,1906CA,GUT930,Wholesale,4.0,1893.75,7575
SO - 018911,2021-01-01,1234BA,GUT930,Wholesale,105.0,498.0,52290
SO - 018912,2021-01-01,1630BA,AXW291,Wholesale,4.0,442.803,1771
SO - 018913,2021-01-01,3619CA,AXW291,Distributor,300.0,0.7455,224
SO - 018914,2021-01-01,2767AA,AXW291,Export,63.0,147.86565,9316
SO - 018915,2021-01-01,3407CA,GUT930,Wholesale,1.0,1017.592,1018
SO - 018916,2021-01-01,2938CA,AXW291,Distributor,1.0,29.206,29
SO - 018917,2021-01-01,2501CA,NXH382,Wholesale,20.0,35.12175,702
SO - 018918,2021-01-01,2621AA,AXW291,Wholesale,2.0,61.78333,124
SO - 018919,2021-01-01,2170BA,NXH382,Distributor,4.0,305.19,1221
SO - 018920,2021-01-01,1499CA,GUT930,Distributor,5.0,6600.0,33000
SO - 018921,2021-01-01,1379CA,NXH382,Wholesale,8.0,490.18125,3921
SO - 018922,2021-01-01,3533CA,NXH382,Distributor,100.0,0.64377,64
SO - 018923,2021-01-01,3345AA,AXW291,Wholesale,5.0,31.06467,155
SO - 018924,2021-01-01,1908AA,AXW291,Wholesale,1.0,27809.1,27809
SO - 018925,2021-01-01,2930CA,GUT930,Wholesale,3.0,20.00833,60
SO - 018926,2021-01-01,1624CA,AXW291,Distributor,2.0,1531.377,3063
SO - 018927,2021-01-01,1499AA,AXW291,Distributor,100.0,14.22359,1422
SO - 018928,2021-01-01,1464AA,AXW291,Export,3.0,842.57,2528
SO - 018929,2021-01-01,3551CA,GUT930,Wholesale,500.0,7.06831,3534
SO - 018930,2021-01-01,3404CA,AXW291,Wholesale,10.0,396.54,3965
SO - 018931,2021-01-01,2953CA,GUT930,Wholesale,1.0,1519.82,1520
SO - 018932,2021-01-01,1990AA,AXW291,Distributor,105.0,545.845,57314
SO - 018933,2021-01-01,3120BA,NXH382,Wholesale,5.0,1534.88,7674
SO - 018934,2021-01-01,1497CA,NXH382,Wholesale,15.0,16.71828,251
SO - 018935,2021-01-01,3250CA,AXW291,Distributor,1500.0,34.75342,52130
SO - 018936,2021-01-01,1971AA,AXW291,Distributor,27.5,321.9469,8854
SO - 018937,2021-01-01,3551CA,AXW291,Wholesale,60.0,7.06831,424
SO - 018938,2021-01-01,1741BA,AXW291,Wholesale,3.0,1450.0,4350
SO - 018939,2021-01-01,1971AA,NXH382,Wholesale,26.0,321.9469,8371
SO - 018940,2021-01-02,3404CA,AXW291,Wholesale,15.0,396.54,5948
SO - 018941,2021-01-02,3420AA,FLR025,Wholesale,1.0,17.255,17
SO - 018942,2021-01-02,2096BA,AXW291,Distributor,2.0,1524.57667,3049
SO - 018943,2021-01-02,1009AA,GUT930,Wholesale,915.0,28.76326,26318
SO - 018944,2021-01-02,2935BA,NXH382,Wholesale,5.0,23.495,117
SO - 018945,2021-01-02,1970CA,AXW291,Export,77.5,244.928,18982
SO - 018946,2021-01-02,2923CA,FLR025,Export,80.0,20.18857,1615
SO - 018947,2021-01-02,2471CA,AXW291,Export,2450.0,4.77698,11704
SO - 018948,2021-01-02,2564BA,FLR025,Wholesale,126.0,309.205,38960
SO - 018949,2021-01-02,3365CA,NXH382,Wholesale,20.0,13.3248,266
SO - 018950,2021-01-02,1161AA,NXH382,Export,50.0,136.5925,6830
SO - 018951,2021-01-02,2396CA,AXW291,Wholesale,1400.0,0.7646,1070
SO - 018952,2021-01-02,1882CA,AXW291,Export,1.0,19950.0,19950
SO - 018953,2021-01-02,2234AA,NXH382,Distributor,4.0,903.0,3612
SO - 018954,2021-01-02,1994AA,NXH382,Wholesale,50.0,450.53667,22527
SO - 018955,2021-01-02,3404CA,AXW291,Export,2.0,396.54,793
SO - 018956,2021-01-02,2673BA,AXW291,Wholesale,276.0,13.0,3588
SO - 018957,2021-01-02,1385CA,AXW291,Distributor,14.0,1781.5475,24942
SO - 018958,2021-01-02,1906CA,AXW291,Export,1.0,1893.75,1894
SO - 018959,2021-01-02,1484BA,AXW291,Wholesale,1.0,0.2,0
SO - 018960,2021-01-02,2953BA,NXH382,Export,90.0,47.90925,4312
SO - 018961,2021-01-02,1295CA,AXW291,Export,1.0,175000.0,175000
SO - 018962,2021-01-02,1994AA,NXH382,Wholesale,67.5,450.53667,30411
SO - 018963,2021-01-02,3160BA,AXW291,Wholesale,3.0,270.909,813
SO - 018964,2021-01-02,3399AA,AXW291,Wholesale,27.0,194.753,5258
SO - 018965,2021-01-02,1499CA,AXW291,Export,3.0,6600.0,19800
SO - 018966,2021-01-02,3399AA,GUT930,Wholesale,1.0,194.753,195
SO - 018967,2021-01-02,1382CA,AXW291,Distributor,7.0,613.52125,4295
SO - 018968,2021-01-02,1497CA,FLR025,Distributor,240.0,16.71828,4012
SO - 018969,2021-01-02,1979AA,GUT930,Wholesale,25.0,278.638,6966
SO - 018970,2021-01-02,3533CA,AXW291,Wholesale,2000.0,0.64377,1288
SO - 018971,2021-01-02,2331CA,NXH382,Distributor,153.0,210.12419,32149
SO - 018972,2021-01-02,2501CA,AXW291,Wholesale,693.0,35.12175,24339
SO - 018973,2021-01-02,2953CA,AXW291,Wholesale,4.0,1519.82,6079
SO - 018974,2021-01-02,3143CA,FLR025,Distributor,10.0,47.764,478
SO - 018975,2021-01-02,1956AA,AXW291,Distributor,1.0,573.09,573
SO - 018976,2021-01-02,2170BA,AXW291,Wholesale,2.0,305.19,610
SO - 018977,2021-01-02,1630BA,FLR025,Wholesale,2.0,442.803,886
SO - 018978,2021-01-02,1317CA,NXH382,Distributor,1.0,4908.7,4909
SO - 018979,2021-01-02,2508BA,AXW291,Wholesale,1.0,463.1,463
SO - 018980,2021-01-02,2498BA,AXW291,Distributor,1.0,1474.56,1475
SO - 018981,2021-01-02,2600BA,AXW291,Distributor,18.0,1467.79,26420
SO - 018982,2021-01-02,1497CA,NXH382,Wholesale,100.0,16.71828,1672
SO - 018983,2021-01-03,1993AA,GUT930,Distributor,1225.0,83.75125,102595
SO - 018984,2021-01-03,2640BA,GUT930,Wholesale,140.0,444.45667,62224
SO - 018985,2021-01-03,2484BA,GUT930,Distributor,29.0,239.67286,6951
SO - 018986,2021-01-03,3420AA,AXW291,Wholesale,2.0,17.255,35
SO - 018987,2021-01-03,3461CA,AXW291,Distributor,3.0,30.064,90
SO - 018988,2021-01-03,1077CA,FLR025,Wholesale,1000.0,22.9777,22978
SO - 018989,2021-01-03,1497CA,GUT930,Distributor,231.0,16.71828,3862
SO - 018990,2021-01-03,1624CA,GUT930,Distributor,4.0,1531.377,6126
SO - 018991,2021-01-03,1907AA,AXW291,Wholesale,1.0,6617.42,6617
SO - 018992,2021-01-03,1130AA,GUT930,Wholesale,7302.0,17.26609,126077
SO - 018993,2021-01-03,1382CA,AXW291,Wholesale,9.0,613.52125,5522
SO - 018994,2021-01-03,1945AA,FLR025,Wholesale,1.0,965.0,965
SO - 018995,2021-01-03,2604CA,GUT930,Distributor,5.0,129.04,645
SO - 018996,2021-01-03,1993AA,AXW291,Wholesale,450.0,83.75125,37688
SO - 018997,2021-01-03,3250CA,NXH382,Export,50.0,34.75342,1738
SO - 018998,2021-01-03,3075AA,AXW291,Export,2.0,60.38,121
SO - 018999,2021-01-03,3075AA,AXW291,Distributor,1.0,60.38,60
SO - 019000,2021-01-03,2970CA,GUT930,Export,1.0,512.205,512
SO - 019001,2021-01-03,2229AA,GUT930,Distributor,3.0,1054.24333,3163
SO - 019002,2021-01-03,3345AA,FLR025,Export,3.0,31.06467,93
SO - 019003,2021-01-03,2953CA,NXH382,Distributor,1.0,1519.82,1520
SO - 019004,2021-01-03,3512AA,NXH382,Distributor,445.0,0.10295,46
SO - 019005,2021-01-03,2956AA,GUT930,Wholesale,5.0,12.02259,60
SO - 019006,2021-01-03,3079BA,NXH382,Wholesale,18.0,134.5,2421
SO - 019007,2021-01-03,2342CA,NXH382,Export,63.0,2.77685,175
SO - 019008,2021-01-03,1077CA,AXW291,Export,100.0,22.9777,2298
SO - 019009,2021-01-03,2234AA,AXW291,Distributor,2.0,903.0,1806
SO - 019010,2021-01-03,3551CA,AXW291,Distributor,200.0,7.06831,1414
SO - 019011,2021-01-03,2315BA,FLR025,Wholesale,6.0,14.9222,90
SO - 019012,2021-01-03,3590BA,AXW291,Wholesale,15.0,115.085,1726
SO - 019013,2021-01-03,3619CA,AXW291,Wholesale,50.0,0.7455,37
SO - 019014,2021-01-03,3502BA,AXW291,Export,20.0,1234.335,24687
SO - 019015,2021-01-03,1009AA,NXH382,Export,140.0,28.76326,4027
SO - 019016,2021-01-03,3143CA,NXH382,Wholesale,4.0,47.764,191
SO - 019017,2021-01-03,1695CA,FLR025,Distributor,1.0,1649.3,1649
SO - 019018,2021-01-03,1145BA,GUT930,Distributor,22.0,85.30066,1877
SO - 019019,2021-01-03,2953BA,GUT930,Wholesale,60.0,47.90925,2875
SO - 019020,2021-01-03,1130AA,GUT930,Export,988.0,17.26609,17059
SO - 019021,2021-01-03,1992AA,NXH382,Distributor,210.0,586.3916,123142
SO - 019022,2021-01-03,2977BA,FLR025,Wholesale,369.0,52.8,19483
SO - 019023,2021-01-03,2315BA,NXH382,Export,35.0,14.9222,522
SO - 019024,2021-01-03,1956CA,GUT930,Wholesale,2.0,1250.0,2500
SO - 019025,2021-01-03,2315BA,GUT930,Wholesale,84.0,14.9222,1253
SO - 019026,2021-01-04,2606AA,AXW291,Export,2.0,2041.52333,4083
SO - 019027,2021-01-04,1499CA,GUT930,Wholesale,6.0,6600.0,39600
SO - 019028,2021-01-04,1511CA,AXW291,Wholesale,10.0,6.787,68
SO - 019029,2021-01-04,3420AA,AXW291,Distributor,2.0,17.255,35
SO - 019030,2021-01-04,2763CA,AXW291,Export,162.0,10.08731,1634
SO - 019031,2021-01-04,2039CA,NXH382,Wholesale,10.0,449.75,4498
SO - 019032,2021-01-04,2277AA,AXW291,Wholesale,120.0,6.37172,765
SO - 019033,2021-01-04,2041CA,GUT930,Distributor,2.0,648.42,1297
SO - 019034,2021-01-04,1497CA,NXH382,Export,263.0,16.71828,4397
SO - 019035,2021-01-04,3193AA,NXH382,Wholesale,2.0,1425.0,2850
SO - 019036,2021-01-04,1145BA,AXW291,Wholesale,74.0,85.30066,6312
SO - 019037,2021-01-04,1499AA,FLR025,Wholesale,298.0,14.22359,4239
SO - 019038,2021-01-04,2565CA,AXW291,Wholesale,10.0,463.03583,4630
SO - 019039,2021-01-04,3345AA,AXW291,Distributor,10.0,31.06467,311
SO - 019040,2021-01-04,1630BA,AXW291,Distributor,10.0,442.803,4428
SO - 019041,2021-01-04,1908AA,AXW291,Wholesale,1.0,27809.1,27809
SO - 019042,2021-01-04,2763CA,AXW291,Wholesale,4381.0,10.08731,44193
SO - 019043,2021-01-04,3556AA,FLR025,Wholesale,20.0,1077.43125,21549
SO - 019044,2021-01-04,2847BA,AXW291,Wholesale,126.0,241.79216,30466
SO - 019045,2021-01-04,2236CA,AXW291,Wholesale,5.0,1617.335,8087
SO - 019046,2021-01-04,2326CA,GUT930,Distributor,97.0,63.5592,6165
